rate,rate_pct,analysis,metric,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,biological_status
0.005,0%,basic_structure,weight_mean,5.903755326702321,5.889113660910292,4.0832810707268615e-05,5.889077869373634,5.88914945244695,100.0,Preserved
0.005,0%,basic_structure,weight_median,4.0,4.0,0.0,4.0,4.0,100.0,Preserved
0.005,0%,basic_structure,weight_variance,89.45748753848277,89.06294312810233,0.00031545567684776313,89.0626666190101,89.06321963719456,100.0,Preserved
0.005,0%,basic_structure,weight_std,9.45819684392764,9.43731652154779,1.6713204795791363e-05,9.43730187177787,9.437331171317712,100.0,Preserved
0.005,0%,basic_structure,weight_max,913.0,913.0,0.0,913.0,913.0,100.0,Preserved
0.005,0%,basic_structure,weight_min,1.0,1.0,0.0,1.0,1.0,100.0,Preserved
0.005,0%,basic_structure,density,0.00015930396501487044,0.00016010047705448876,0.0,0.00016010047705448876,0.00016010047705448876,99.5025,Preserved
0.005,0%,degree_distribution,in_degree_mean,25.21160480721841,25.337661599120445,0.0,25.337661599120445,25.337661599120445,100.0,Preserved
0.005,0%,degree_distribution,in_degree_median,9.0,9.0,0.0,9.0,9.0,100.0,Preserved
0.005,0%,degree_distribution,in_degree_variance,3727.29660036276,3731.6761718024836,0.033505625663762084,3731.6468028266913,3731.705540778276,100.0,Preserved
0.005,0%,degree_distribution,in_degree_std,61.05158966286431,61.08744692440761,0.00027424301053321533,61.087206539810154,61.08768730900506,100.0,Preserved
0.005,0%,degree_distribution,in_degree_max,4707.0,4707.0,0.0,4707.0,4707.0,100.0,Preserved
0.005,0%,degree_distribution,in_degree_min,0.0,0.0,0.0,0.0,0.0,100.0,Preserved
0.005,0%,degree_distribution,out_degree_mean,25.21160480721841,25.337661599120445,0.0,25.337661599120445,25.337661599120445,100.0,Preserved
0.005,0%,degree_distribution,out_degree_median,11.0,11.0,0.0,11.0,11.0,100.0,Preserved
0.005,0%,degree_distribution,out_degree_variance,3364.863849607683,3373.0825713172117,0.07466256908951203,3373.017126689907,3373.1480159445164,100.0,Preserved
0.005,0%,degree_distribution,out_degree_std,58.007446501356036,58.07824524713779,0.0006427774154884712,58.077681827891574,58.078808666384,100.0,Preserved
