condition,dataset,error_model,error_rate,trial_seed,analysis_name,metric_name,category,baseline_value,perturbed_value,absolute_delta,relative_change,is_near_zero_baseline,null_graph_replicate_id,perturbation_completion_ratio
null,BANC,missed_synapses,0.0,4,basic_structure,weight_mean,secondary_emergent,5.903755326702321,5.903755326702321,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,weight_median,secondary_emergent,4.0,4.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,weight_variance,secondary_emergent,89.45748753848277,89.45748753848277,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,weight_std,secondary_emergent,9.45819684392764,9.45819684392764,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,weight_max,secondary_emergent,913.0,913.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,weight_min,secondary_emergent,1.0,1.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,basic_structure,density,primary_imposed,0.0001593039650148,0.0001593039650148,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_mean,secondary_emergent,25.21160480721841,25.21160480721841,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_median,secondary_emergent,9.0,9.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_variance,secondary_emergent,3727.29660036276,3727.29660036276,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_std,secondary_emergent,61.0515896628643,61.0515896628643,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_max,secondary_emergent,4707.0,4707.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_mean,secondary_emergent,25.21160480721841,25.21160480721841,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_median,secondary_emergent,11.0,11.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_variance,secondary_emergent,3364.8638496076824,3364.8638496076824,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_std,secondary_emergent,58.00744650135604,58.00744650135604,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_max,secondary_emergent,4782.0,4782.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_mean,primary_imposed,50.42320961443682,50.42320961443682,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_median,secondary_emergent,21.0,21.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_variance,secondary_emergent,12481.215315530224,12481.215315530224,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_std,secondary_emergent,111.71935962728315,111.71935962728315,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_max,secondary_emergent,9489.0,9489.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,degree_distribution,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,4,connected_components,wcc_count,secondary_emergent,4303.0,4303.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,connected_components,wcc_max_size,secondary_emergent,153958.0,153958.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,connected_components,scc_count,secondary_emergent,16976.0,16976.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,connected_components,scc_max_size,secondary_emergent,141287.0,141287.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,4,reciprocity,reciprocity,secondary_emergent,0.0039814147180015,0.0039814147180015,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,node_count,secondary_emergent,158262.0,158262.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,edge_count,secondary_emergent,3990039.0,3990039.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,total_synapses,secondary_emergent,23556214.0,23556214.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_mean,secondary_emergent,5.903755326702321,5.903755326702321,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_median,secondary_emergent,4.0,4.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_variance,secondary_emergent,89.45748753848277,89.45748753848277,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_std,secondary_emergent,9.45819684392764,9.45819684392764,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_max,secondary_emergent,913.0,913.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,weight_min,secondary_emergent,1.0,1.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,basic_structure,density,primary_imposed,0.0001593039650148,0.0001593039650148,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_mean,secondary_emergent,25.21160480721841,25.21160480721841,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_median,secondary_emergent,9.0,9.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_variance,secondary_emergent,3727.29660036276,3727.29660036276,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_std,secondary_emergent,61.0515896628643,61.0515896628643,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_max,secondary_emergent,4707.0,4707.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_mean,secondary_emergent,25.21160480721841,25.21160480721841,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_median,secondary_emergent,11.0,11.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_variance,secondary_emergent,3364.8638496076824,3364.8638496076824,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_std,secondary_emergent,58.00744650135604,58.00744650135604,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_max,secondary_emergent,4782.0,4782.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_mean,primary_imposed,50.42320961443682,50.42320961443682,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_median,secondary_emergent,21.0,21.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_variance,secondary_emergent,12481.215315530224,12481.215315530224,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_std,secondary_emergent,111.71935962728315,111.71935962728315,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_max,secondary_emergent,9489.0,9489.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,degree_distribution,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,5,connected_components,wcc_count,secondary_emergent,4303.0,4303.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,connected_components,wcc_max_size,secondary_emergent,153958.0,153958.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,connected_components,scc_count,secondary_emergent,16976.0,16976.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,connected_components,scc_max_size,secondary_emergent,141287.0,141287.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,5,reciprocity,reciprocity,secondary_emergent,0.0039814147180015,0.0039814147180015,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.005,1,basic_structure,node_count,secondary_emergent,158262.0,158262.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,edge_count,secondary_emergent,3990039.0,3987490.0,-2549.0,-0.0006388408734851,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,total_synapses,secondary_emergent,23556214.0,23438498.0,-117716.0,-0.0049972376715545,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_mean,secondary_emergent,5.903755326702321,5.878007969925943,-0.0257473567763772,-0.0043611828999626,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_median,secondary_emergent,4.0,4.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_variance,secondary_emergent,89.45748753848277,88.67560644739089,-0.7818810910918756,-0.0087402531929541,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_std,secondary_emergent,9.45819684392764,9.41677261312977,-0.0414242307978689,-0.0043797175594272,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_max,secondary_emergent,913.0,911.0,-2.0,-0.0021905805038335,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,weight_min,secondary_emergent,1.0,1.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,basic_structure,density,primary_imposed,0.0001593039650148,0.0001592021951307,-1.0176988415975133e-07,-0.0006388408734851,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_mean,secondary_emergent,25.21160480721841,25.1954986035814,-0.0161062036370083,-0.0006388408734852,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_median,secondary_emergent,9.0,9.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_variance,secondary_emergent,3727.29660036276,3722.658359386367,-4.638240976392808,-0.0012443981452781,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_std,secondary_emergent,61.0515896628643,61.01359159553195,-0.037998067332353,-0.0006223927590122,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_max,secondary_emergent,4707.0,4702.0,-5.0,-0.0010622477161674,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_mean,secondary_emergent,25.21160480721841,25.1954986035814,-0.0161062036370083,-0.0006388408734852,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_median,secondary_emergent,11.0,11.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_variance,secondary_emergent,3364.8638496076824,3359.337953982669,-5.525895625013163,-0.0016422345366685,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_std,secondary_emergent,58.00744650135604,57.95979601398429,-0.0476504873717473,-0.0008214546622153,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_max,secondary_emergent,4782.0,4776.0,-6.0,-0.001254705144291,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_mean,primary_imposed,50.42320961443682,50.390997207162805,-0.0322124072740166,-0.0006388408734852,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_median,secondary_emergent,21.0,21.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_variance,secondary_emergent,12481.215315530224,12463.252284773482,-17.963030756742228,-0.0014392052618779,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_std,secondary_emergent,111.71935962728315,111.6389371356315,-0.0804224916516602,-0.0007198617313952,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_max,secondary_emergent,9489.0,9478.0,-11.0,-0.0011592370112762,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,degree_distribution,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,connected_components,wcc_count,secondary_emergent,4303.0,4303.0,0.0,0.0,False,1,0.999447534310904
null,BANC,missed_synapses,0.005,1,connected_components,wcc_max_size,secondary_emergent,153958.0,153958.0,0.0,0.0,False,1,0.999447534310904
