dataset,error_model,rate,pr_pearson,pr_spearman,pr_topk100
MCNS,split_errors,1.0,0.9995594023677222,0.9975610502335195,0.9879999999999999
MCNS,split_errors,20.0,0.9932394841562656,0.9687903230121501,0.942
MCNS,split_errors,2.0,0.9990838340999645,0.9952898846853824,0.982
MCNS,split_errors,3.0,0.9987327714023255,0.9930511169440939,0.9719999999999999
MCNS,split_errors,5.0,0.9983592966866086,0.9889641272029401,0.968
MCNS,split_errors,7.5,0.9978074682848932,0.9844167573571703,0.968
MAOL,split_errors,0.5,0.9999820262139325,0.9988325900733438,1.0
MAOL,split_errors,0.0,1.0,1.0,1.0
MAOL,split_errors,10.0,0.9995896644422307,0.9820771999273685,0.99
MAOL,split_errors,15.0,0.9993790192598058,0.9764104780379241,0.982
MAOL,split_errors,1.0,0.9999677402072891,0.9977140424650454,0.9960000000000001
MAOL,split_errors,20.0,0.9992515459609634,0.9722784909129973,0.978
MAOL,split_errors,2.0,0.9999133938061997,0.9955008044464305,0.9960000000000001
MAOL,split_errors,3.0,0.9998397055144157,0.9934801384270038,0.9960000000000001
MAOL,split_errors,5.0,0.9997529198732537,0.9896730203855831,0.99
MAOL,split_errors,7.5,0.9996939568505946,0.9856294555937073,0.9879999999999999
BANC,synapse_count_measurement,0.5,0.999999965878516,0.9999999783993587,1.0
BANC,synapse_count_measurement,0.0,1.0,0.9999999999997662,1.0
BANC,synapse_count_measurement,10.0,0.999788082421518,0.999472091345216,0.986
BANC,synapse_count_measurement,15.0,0.9994467075147643,0.998768518522882,0.982
BANC,synapse_count_measurement,1.0,0.9999997689924289,0.9999996342071868,1.0
BANC,synapse_count_measurement,20.0,0.9989668885967505,0.9978885071872987,0.976
BANC,synapse_count_measurement,2.0,0.999998693727043,0.9999960600529635,0.994
BANC,synapse_count_measurement,3.0,0.9999941083313315,0.999985880722648,0.992
BANC,synapse_count_measurement,5.0,0.9999798784541678,0.9999290132388413,0.992
BANC,synapse_count_measurement,7.5,0.9999198428262556,0.9997536717055414,0.986
FAFB,synapse_count_measurement,0.5,0.9999999035218476,0.9999998091619539,1.0
FAFB,synapse_count_measurement,0.0,0.9999999999999994,0.9999999999999595,1.0
FAFB,synapse_count_measurement,10.0,0.9998787878171089,0.9995751762381829,0.982
FAFB,synapse_count_measurement,15.0,0.9997192714481024,0.9990809239139263,0.976
FAFB,synapse_count_measurement,1.0,0.9999994983964031,0.9999985015078374,1.0
FAFB,synapse_count_measurement,20.0,0.9994605149784125,0.9983855990703188,0.97
FAFB,synapse_count_measurement,2.0,0.9999976038924382,0.9999901920890156,0.998
FAFB,synapse_count_measurement,3.0,0.99999366551093,0.9999713785069974,0.998
FAFB,synapse_count_measurement,5.0,0.9999782608667049,0.999896683148491,0.9960000000000001
FAFB,synapse_count_measurement,7.5,0.9999255512000909,0.9997550632734657,0.9879999999999999
MANC,synapse_count_measurement,0.5,0.9999998591970407,0.9999999457964845,1.0
MANC,synapse_count_measurement,0.0,1.0,0.9999999999999998,1.0
MANC,synapse_count_measurement,10.0,0.9999063063849929,0.9999242866873953,0.986
MANC,synapse_count_measurement,15.0,0.9997666974289932,0.9998093126611014,0.982
MANC,synapse_count_measurement,1.0,0.9999993608853801,0.9999996281215461,0.992
MANC,synapse_count_measurement,20.0,0.9995646021853212,0.999634389247699,0.976
MANC,synapse_count_measurement,2.0,0.9999972354176622,0.999997959660128,0.992
MANC,synapse_count_measurement,3.0,0.9999931477234867,0.9999948230858495,0.992
MANC,synapse_count_measurement,5.0,0.9999797313002381,0.9999837296146181,0.986
MANC,synapse_count_measurement,7.5,0.9999497261202304,0.9999605948051127,0.986
MCNS,synapse_count_measurement,0.5,0.9999998719003635,0.9999997612321408,1.0
MCNS,synapse_count_measurement,0.0,1.0,1.0,1.0
MCNS,synapse_count_measurement,10.0,0.9998186839631835,0.9995508780367091,0.984
MCNS,synapse_count_measurement,15.0,0.9996057292903849,0.9990310446857114,0.97
MCNS,synapse_count_measurement,1.0,0.9999992188928818,0.9999981910469955,1.0
MCNS,synapse_count_measurement,20.0,0.9993182078213134,0.9983009600842434,0.97
MCNS,synapse_count_measurement,2.0,0.999996462230704,0.9999888417797618,0.998
MCNS,synapse_count_measurement,3.0,0.9999873053015605,0.9999679367836997,0.9960000000000001
MCNS,synapse_count_measurement,5.0,0.9999636705128931,0.9998876739298158,0.9879999999999999
MCNS,synapse_count_measurement,7.5,0.999904265219978,0.9997392832650138,0.986
MAOL,synapse_count_measurement,0.5,0.9999999283915635,0.9999998612243985,1.0
MAOL,synapse_count_measurement,0.0,1.0,1.0,1.0
MAOL,synapse_count_measurement,10.0,0.9999365641382976,0.9997415472879154,0.99
MAOL,synapse_count_measurement,15.0,0.9998411192078038,0.9993871009584321,0.992
MAOL,synapse_count_measurement,1.0,0.9999996629841725,0.9999991204006189,1.0
MAOL,synapse_count_measurement,20.0,0.999705793075794,0.9988928345727135,0.986
MAOL,synapse_count_measurement,2.0,0.9999981280739846,0.9999944729209517,1.0
MAOL,synapse_count_measurement,3.0,0.9999954916839178,0.9999844833152002,0.998
MAOL,synapse_count_measurement,5.0,0.9999844083066295,0.9999463032385216,0.992
MAOL,synapse_count_measurement,7.5,0.9999653913425508,0.9998630343579865,0.99
