dataset,error_model,rate,analysis,metric,baseline,value,rel_change_pct,rel_std_pct,n
BANC,false_synapses,5.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,5.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,5.0,connected_components,metric_scc_count,18345.0,18300.0,-0.24529844644317253,0.024860734262177987,5
BANC,false_synapses,5.0,connected_components,metric_scc_max_size,139405.0,139453.2,0.03457551737743384,0.0041431882868458525,5
BANC,false_synapses,5.0,reciprocity,metric_reciprocity,0.1299390807959521,0.13117857063578084,0.9539007296620476,0.010721155299392824,5
BANC,false_synapses,10.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_edge_count,3990039.0,4389043.0,10.000002506241167,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_total_synapses,23556214.0,24736087.2,5.008755651481173,0.0019649075116300895,5
BANC,false_synapses,10.0,basic_structure,metric_weight_mean,5.903755326702321,5.635872603663258,-4.537497037308534,0.0017862795153266314,5
BANC,false_synapses,10.0,basic_structure,metric_weight_variance,89.45748753848277,82.1824461913184,-8.132400704898837,0.0005705965963143417,5
BANC,false_synapses,10.0,basic_structure,metric_weight_std,9.45819684392764,9.065453446492667,-4.152413022436964,0.0002976580293384378,5
BANC,false_synapses,10.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_density,0.0001593039650148,0.0001752343655088,10.000002506227649,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_total_degree_mean,50.42320961443682,55.46553183960774,10.00000250624117,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_in_degree_mean,25.21160480721841,27.73276591980387,10.00000250624117,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_out_degree_mean,25.21160480721841,27.73276591980387,10.00000250624117,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_total_degree_std,111.71935962728317,114.08721278467551,2.1194653865650057,0.0030406773002137947,5
BANC,false_synapses,10.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,10.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.037024038333034796,20.258692055084534,0.024331057022922063,5
BANC,false_synapses,10.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,10.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,10.0,connected_components,metric_scc_count,18345.0,18206.8,-0.753338784409925,0.0278805382448502,5
BANC,false_synapses,10.0,connected_components,metric_scc_max_size,139405.0,139579.8,0.12539005057206581,0.00569185737236896,5
BANC,false_synapses,10.0,reciprocity,metric_reciprocity,0.1299390807959521,0.13402274709999418,3.1427544962048852,0.03162058613900034,5
BANC,false_synapses,15.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_edge_count,3990039.0,4588545.0,15.000003759361752,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_total_synapses,23556214.0,25326858.6,7.516677340424915,0.003263073796002582,5
BANC,false_synapses,15.0,basic_structure,metric_weight_mean,5.903755326702321,5.5195837896326605,-6.507240151570577,0.0028374553820259586,5
BANC,false_synapses,15.0,basic_structure,metric_weight_variance,89.45748753848277,78.97380322092489,-11.71918036827047,0.0009379052512273773,5
BANC,false_synapses,15.0,basic_structure,metric_weight_std,9.45819684392764,8.886720611040747,-6.04212665814618,0.0004991090226659212,5
BANC,false_synapses,15.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_density,0.0001593039650148,0.0001831995657559,15.000003759404231,0.0,5
BANC,false_synapses,15.0,degree_distribution,metric_total_degree_mean,50.42320961443682,57.986692952193195,15.000003759361741,1.4091580865107454e-14,5
BANC,false_synapses,15.0,degree_distribution,metric_in_degree_mean,25.21160480721841,28.993346476096598,15.000003759361741,1.4091580865107454e-14,5
BANC,false_synapses,15.0,degree_distribution,metric_out_degree_mean,25.21160480721841,28.993346476096598,15.000003759361741,1.4091580865107454e-14,5
BANC,false_synapses,15.0,degree_distribution,metric_total_degree_std,111.71935962728317,115.96527859433088,3.800522112920178,0.006336314098236732,5
BANC,false_synapses,15.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,15.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,15.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.034303026971815004,26.11912799470063,0.03855945496054609,5
BANC,false_synapses,15.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,15.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,15.0,connected_components,metric_scc_count,18345.0,18092.8,-1.3747615153992954,0.020512278792288664,5
BANC,false_synapses,15.0,connected_components,metric_scc_max_size,139405.0,139744.2,0.24331982353574955,0.005413855245970578,5
BANC,false_synapses,15.0,reciprocity,metric_reciprocity,0.1299390807959521,0.13661228123511915,5.13563771445037,0.03925333550484336,5
BANC,false_synapses,20.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,20.0,basic_structure,metric_edge_count,3990039.0,4788047.0,20.000005012482333,0.0,5
BANC,false_synapses,20.0,basic_structure,metric_total_synapses,23556214.0,25917579.0,10.02438252598656,0.005913427701016863,5
BANC,false_synapses,20.0,basic_structure,metric_weight_mean,5.903755326702321,5.412975060604042,-8.313018391505992,0.004927856211670605,5
BANC,false_synapses,20.0,basic_structure,metric_weight_variance,89.45748753848277,76.00872176829245,-15.033694931802035,0.0016322953413533243,5
BANC,false_synapses,20.0,basic_structure,metric_weight_std,9.45819684392764,8.71829810004679,-7.822830885105557,0.0008854086435496576,5
BANC,false_synapses,20.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,20.0,basic_structure,metric_density,0.0001593039650148,0.0001911647660029,20.000005012518045,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_total_degree_mean,50.42320961443682,60.507854064778655,20.000005012482326,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_in_degree_mean,25.21160480721841,30.253927032389328,20.000005012482326,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_out_degree_mean,25.21160480721841,30.253927032389328,20.000005012482326,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_total_degree_std,111.71935962728317,118.10941468975454,5.719738354918793,0.007797954555912986,5
BANC,false_synapses,20.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,20.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,20.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.031543463118588,32.06259718178524,0.07808048694768772,5
BANC,false_synapses,20.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,20.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,20.0,connected_components,metric_scc_count,18345.0,17946.2,-2.1738893431452673,0.0375135470898561,5
BANC,false_synapses,20.0,connected_components,metric_scc_max_size,139405.0,139956.8,0.39582511387682534,0.006076630991584914,5
BANC,false_synapses,20.0,reciprocity,metric_reciprocity,0.1299390807959521,0.13914558482821907,7.085246390748498,0.08302936143362481,5
BANC,merge_errors,0.5,basic_structure,metric_node_count,158262.0,157968.0,-0.1857679038556318,0.0,5
BANC,merge_errors,0.5,basic_structure,metric_edge_count,3990039.0,3980860.0,-0.23004787672501448,0.02639236884424772,5
BANC,merge_errors,0.5,basic_structure,metric_total_synapses,23556214.0,23555557.0,-0.0027890729809128072,0.0013887670922692167,5
BANC,merge_errors,0.5,basic_structure,metric_weight_mean,5.903755326702321,5.917203473645284,0.22778970669969836,0.026091742295572522,5
BANC,merge_errors,0.5,basic_structure,metric_weight_variance,89.45748753848277,90.05438199345588,0.6672381165593756,0.1342182130783162,5
BANC,merge_errors,0.5,basic_structure,metric_weight_std,9.45819684392764,9.489696621293305,0.3330420997305512,0.06689297148511188,5
BANC,merge_errors,0.5,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,merge_errors,0.5,basic_structure,metric_density,0.0001593039650148,0.00015952965073902,0.14166987256033,0.026490700177886052,5
BANC,merge_errors,0.5,degree_distribution,metric_total_degree_mean,50.42320961443682,50.40084067659273,-0.04436238394012866,0.026441488643445383,5
BANC,merge_errors,0.5,degree_distribution,metric_in_degree_mean,25.21160480721841,25.200420338296365,-0.04436238394012866,0.026441488643440075,5
BANC,merge_errors,0.5,degree_distribution,metric_out_degree_mean,25.21160480721841,25.200420338296365,-0.04436238394012866,0.026441488643440075,5
BANC,merge_errors,0.5,degree_distribution,metric_total_degree_std,111.71935962728317,111.56482692291891,-0.1383222253330197,0.030946920289504368,5
BANC,merge_errors,0.5,degree_distribution,metric_in_degree_max,4707.0,4688.2,-0.39940514127895016,0.2201288947862948,5
BANC,merge_errors,0.5,degree_distribution,metric_out_degree_max,4782.0,4763.6,-0.3847762442492605,0.21956344204779069,5
BANC,merge_errors,0.5,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.046321358589552455,0.23439133000732534,0.0799057931523321,5
