experiment_id,analysis_name,status,runtime_seconds,metric_node_count,metric_edge_count,metric_total_synapses,metric_weight_mean,metric_weight_median,metric_weight_variance,metric_weight_std,metric_weight_max,metric_weight_min,metric_density,metric_in_degree_mean,metric_in_degree_median,metric_in_degree_variance,metric_in_degree_std,metric_in_degree_max,metric_in_degree_min,metric_out_degree_mean,metric_out_degree_median,metric_out_degree_variance,metric_out_degree_std,metric_out_degree_max,metric_out_degree_min,metric_total_degree_mean,metric_total_degree_median,metric_total_degree_variance,metric_total_degree_std,metric_total_degree_max,metric_total_degree_min,metric_degree_assortativity,metric_wcc_count,metric_wcc_max_size,metric_scc_count,metric_scc_max_size,metric_reciprocity,dataset,error_model,rate,trial
BANC_20260809T045335Z,degree_distribution,SUCCESS,0.1579835369998363,,,,,,,,,,,25.195283769951093,9.0,3720.363211382428,60.99478019783683,4696.0,0.0,25.195283769951093,11.0,3358.691590904992,57.95421978514586,4774.0,0.0,50.390567539902186,21.0,12457.896615986298,111.61494799526764,9470.0,0.0,,,,,,,BANC,missed_synapses,0.5,2
BANC_20260809T045335Z,pagerank,SUCCESS,0.7981718519999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,2
BANC_20260809T045335Z,assortativity,SUCCESS,0.0169010779995915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465145754924763,,,,,,BANC,missed_synapses,0.5,2
BANC_20260809T045335Z,connected_components,SUCCESS,0.5230928569999378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.5,2
BANC_20260809T045335Z,reciprocity,SUCCESS,0.1005020550001063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299124053030303,BANC,missed_synapses,0.5,2
BANC_20260809T045615Z,basic_structure,SUCCESS,1.2253922879999664,158262.0,3987470.0,23438457.0,5.878027170110371,4.0,88.70207523280084,9.41817791469246,912.0,1.0,0.0001592013966224,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,3
BANC_20260809T045615Z,degree_distribution,SUCCESS,0.1572506840002461,,,,,,,,,,,25.195372230857693,9.0,3720.5435738877422,60.996258687625605,4699.0,0.0,25.195372230857693,11.0,3358.624970559085,57.95364501529723,4776.0,0.0,50.390744461715386,21.0,12458.04974259448,111.61563395239251,9475.0,0.0,,,,,,,BANC,missed_synapses,0.5,3
BANC_20260809T045615Z,pagerank,SUCCESS,0.9195434039997964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,3
BANC_20260809T045615Z,assortativity,SUCCESS,0.0186327689998506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465068670996722,,,,,,BANC,missed_synapses,0.5,3
BANC_20260809T045615Z,connected_components,SUCCESS,0.5384628839997276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.5,3
BANC_20260809T045615Z,reciprocity,SUCCESS,0.1012540340002488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299124507519805,BANC,missed_synapses,0.5,3
BANC_20260809T045855Z,basic_structure,SUCCESS,1.215829389999726,158262.0,3987512.0,23438545.0,5.877987326433124,4.0,88.697334212403,9.41792621612651,912.0,1.0,0.0001592030734898,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,4
BANC_20260809T045855Z,degree_distribution,SUCCESS,0.1579720550003003,,,,,,,,,,,25.195637613577485,9.0,3721.209631296258,61.0017182651133,4702.0,0.0,25.195637613577485,11.0,3359.3720328835,57.960090000650446,4778.0,0.0,50.39127522715497,21.0,12460.711002469536,111.62755485304484,9480.0,0.0,,,,,,,BANC,missed_synapses,0.5,4
BANC_20260809T045855Z,pagerank,SUCCESS,0.8600202160000663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,4
BANC_20260809T045855Z,assortativity,SUCCESS,0.0179149330001564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464898477793515,,,,,,BANC,missed_synapses,0.5,4
BANC_20260809T045855Z,connected_components,SUCCESS,0.5408999969999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.5,4
BANC_20260809T045855Z,reciprocity,SUCCESS,0.1025710799999615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129923621546468,BANC,missed_synapses,0.5,4
BANC_20260809T050134Z,basic_structure,SUCCESS,1.215767650000089,158262.0,3987406.0,23438297.0,5.878081389254066,4.0,88.69244707172798,9.417666753061928,911.0,1.0,0.0001591988413958,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,5
BANC_20260809T050134Z,degree_distribution,SUCCESS,0.1572470380001505,,,,,,,,,,,25.19496783814181,9.0,3721.298593928968,61.00244744212291,4703.0,0.0,25.19496783814181,11.0,3358.457545540852,57.95220052371482,4776.0,0.0,50.38993567628363,21.0,12459.147668357187,111.62055217726343,9479.0,0.0,,,,,,,BANC,missed_synapses,0.5,5
BANC_20260809T050134Z,pagerank,SUCCESS,0.7532300289999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,5
BANC_20260809T050134Z,assortativity,SUCCESS,0.0178075300000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464860708849299,,,,,,BANC,missed_synapses,0.5,5
BANC_20260809T050134Z,connected_components,SUCCESS,0.5383622379999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.5,5
BANC_20260809T050134Z,reciprocity,SUCCESS,0.1029816200002642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299125295994438,BANC,missed_synapses,0.5,5
BANC_20260809T050414Z,basic_structure,SUCCESS,1.2343911929997375,158262.0,3986164.0,23379587.0,5.865184422918876,4.0,88.3205320988608,9.397900409073335,911.0,1.0,0.0001591492540297,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,1
BANC_20260809T050414Z,degree_distribution,SUCCESS,0.1600275040000269,,,,,,,,,,,25.187120091999343,9.0,3717.743505235594,60.9733015772936,4700.0,0.0,25.187120091999343,11.0,3355.9535619769467,57.93059262580478,4770.0,0.0,50.37424018399869,21.0,12448.044638020385,111.5708054914922,9470.0,0.0,,,,,,,BANC,missed_synapses,0.75,1
BANC_20260809T050414Z,pagerank,SUCCESS,0.8509254380001039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,1
BANC_20260809T050414Z,assortativity,SUCCESS,0.0183049799998116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465361700026734,,,,,,BANC,missed_synapses,0.75,1
BANC_20260809T050414Z,connected_components,SUCCESS,0.5335700000000543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.75,1
BANC_20260809T050414Z,reciprocity,SUCCESS,0.1010960829999021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1298988200184438,BANC,missed_synapses,0.75,1
BANC_20260809T050657Z,basic_structure,SUCCESS,1.2153405730000486,158262.0,3986192.0,23379550.0,5.865133942369058,4.0,88.30437212700379,9.397040604733162,912.0,1.0,0.0001591503719413,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,2
BANC_20260809T050657Z,degree_distribution,SUCCESS,0.1573299810002026,,,,,,,,,,,25.18729701381254,9.0,3717.163615662108,60.96854611733913,4691.0,0.0,25.18729701381254,11.0,3355.777976658431,57.92907712589966,4773.0,0.0,50.37459402762508,21.0,12446.896188394348,111.56565864276672,9464.0,0.0,,,,,,,BANC,missed_synapses,0.75,2
BANC_20260809T050657Z,pagerank,SUCCESS,1.0920413220001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,2
BANC_20260809T050657Z,assortativity,SUCCESS,0.0171197089998713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465544697756829,,,,,,BANC,missed_synapses,0.75,2
BANC_20260809T050657Z,connected_components,SUCCESS,0.544094571000187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.75,2
BANC_20260809T050657Z,reciprocity,SUCCESS,0.1009044699999321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299074404845527,BANC,missed_synapses,0.75,2
BANC_20260809T050937Z,basic_structure,SUCCESS,1.2307366140003069,158262.0,3986153.0,23379477.0,5.8651730126766335,4.0,88.32489055214536,9.398132290628036,912.0,1.0,0.0001591488148501,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,3
BANC_20260809T050937Z,degree_distribution,SUCCESS,0.1570458950000102,,,,,,,,,,,25.187050587001306,9.0,3717.11020801881,60.96810812235205,4695.0,0.0,25.187050587001306,11.0,3355.7255294478337,57.92862443945855,4775.0,0.0,50.37410117400261,21.0,12446.684794618368,111.5647112424819,9470.0,0.0,,,,,,,BANC,missed_synapses,0.75,3
BANC_20260809T050937Z,pagerank,SUCCESS,1.0853691420002178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,3
BANC_20260809T050937Z,assortativity,SUCCESS,0.0179975630003355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.046548626152184,,,,,,BANC,missed_synapses,0.75,3
BANC_20260809T050937Z,connected_components,SUCCESS,0.5561098210000637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.75,3
BANC_20260809T050937Z,reciprocity,SUCCESS,0.100286392000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1298946628491179,BANC,missed_synapses,0.75,3
BANC_20260809T051218Z,basic_structure,SUCCESS,1.2194409080002515,158262.0,3986249.0,23379462.0,5.865028000007024,4.0,88.31874143960897,9.397805139478525,911.0,1.0,0.00015915264769,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,4
BANC_20260809T051218Z,degree_distribution,SUCCESS,0.1585368880000714,,,,,,,,,,,25.18765717607512,9.0,3717.6806420336393,60.97278607734469,4697.0,0.0,25.18765717607512,11.0,3356.727943344124,57.93727593996911,4775.0,0.0,50.37531435215024,21.0,12449.514091052248,111.57739059080136,9472.0,0.0,,,,,,,BANC,missed_synapses,0.75,4
BANC_20260809T051218Z,pagerank,SUCCESS,1.1196016270000655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.75,4
BANC_20260809T051218Z,assortativity,SUCCESS,0.0177039630002582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465250768717853,,,,,,BANC,missed_synapses,0.75,4
BANC_20260809T051218Z,connected_components,SUCCESS,0.5343467520001468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.75,4
