dataset,error_model,rate,analysis,metric,mean,std,n
BANC,false_synapses,2.0,connected_components,metric_scc_count,18336.0,0.6324555320336759,5
BANC,false_synapses,2.0,connected_components,metric_scc_max_size,139412.4,1.019803902718557,5
BANC,false_synapses,2.0,reciprocity,metric_reciprocity,0.129412360191064,2.7870739252365776e-05,5
BANC,false_synapses,5.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_edge_count,4189541.0,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_total_synapses,24146488.6,297.43342112143347,5
BANC,false_synapses,5.0,basic_structure,metric_weight_mean,5.763516480683683,7.099427386487872e-05,5
BANC,false_synapses,5.0,basic_structure,metric_weight_variance,85.66422803408375,0.00045630825325315987,5
BANC,false_synapses,5.0,basic_structure,metric_weight_std,9.255497179162019,2.4650647014031768e-05,5
BANC,false_synapses,5.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_density,0.0001672691652618,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_total_degree_mean,52.94437072702228,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_in_degree_mean,26.47218536351114,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_out_degree_mean,26.47218536351114,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_total_degree_std,112.74465235981779,0.0031345659475935095,5
BANC,false_synapses,5.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,5.0,assortativity,metric_degree_assortativity,-0.04097434270770214,7.347943129728307e-06,5
BANC,false_synapses,5.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,5.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,5.0,connected_components,metric_scc_count,18300.0,4.560701700396552,5
BANC,false_synapses,5.0,connected_components,metric_scc_max_size,139453.2,5.775811631277461,5
BANC,false_synapses,5.0,reciprocity,metric_reciprocity,0.13117857063578084,1.3930970646737542e-05,5
BANC,false_synapses,10.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_edge_count,4389043.0,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_total_synapses,24736087.2,462.8578183416588,5
BANC,false_synapses,10.0,basic_structure,metric_weight_mean,5.635872603663258,0.00010545757203588839,5
BANC,false_synapses,10.0,basic_structure,metric_weight_variance,82.1824461913184,0.0005104413790429091,5
BANC,false_synapses,10.0,basic_structure,metric_weight_std,9.065453446492667,2.8153082336585327e-05,5
BANC,false_synapses,10.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,10.0,basic_structure,metric_density,0.0001752343655088,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_total_degree_mean,55.46553183960774,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_in_degree_mean,27.73276591980387,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_out_degree_mean,27.73276591980387,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_total_degree_std,114.08721278467551,0.003397025208131014,5
BANC,false_synapses,10.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,10.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,10.0,assortativity,metric_degree_assortativity,-0.037024038333034796,1.1296955255890831e-05,5
BANC,false_synapses,10.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,10.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,10.0,connected_components,metric_scc_count,18206.8,5.114684741017769,5
BANC,false_synapses,10.0,connected_components,metric_scc_max_size,139579.8,7.934733769950949,5
BANC,false_synapses,10.0,reciprocity,metric_reciprocity,0.13402274709999418,4.108749897130928e-05,5
BANC,false_synapses,15.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_edge_count,4588545.0,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_total_synapses,25326858.6,768.6566463642918,5
BANC,false_synapses,15.0,basic_structure,metric_weight_mean,5.5195837896326605,0.0001675164232591592,5
BANC,false_synapses,15.0,basic_structure,metric_weight_variance,78.97380322092489,0.0008390264732395066,5
BANC,false_synapses,15.0,basic_structure,metric_weight_std,8.886720611040747,4.720671382954625e-05,5
BANC,false_synapses,15.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,15.0,basic_structure,metric_density,0.0001831995657559,0.0,5
BANC,false_synapses,15.0,degree_distribution,metric_total_degree_mean,57.986692952193195,7.105427357601002e-15,5
BANC,false_synapses,15.0,degree_distribution,metric_in_degree_mean,28.993346476096598,3.552713678800501e-15,5
BANC,false_synapses,15.0,degree_distribution,metric_out_degree_mean,28.993346476096598,3.552713678800501e-15,5
BANC,false_synapses,15.0,degree_distribution,metric_total_degree_std,115.96527859433088,0.007078889534523339,5
BANC,false_synapses,15.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,15.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,15.0,assortativity,metric_degree_assortativity,-0.034303026971815004,1.7903227014364726e-05,5
BANC,false_synapses,15.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,15.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,15.0,connected_components,metric_scc_count,18092.8,3.7629775444453557,5
BANC,false_synapses,15.0,connected_components,metric_scc_max_size,139744.2,7.547184905645283,5
BANC,false_synapses,15.0,reciprocity,metric_reciprocity,0.13661228123511915,5.100542333674456e-05,5
BANC,false_synapses,20.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,20.0,basic_structure,metric_edge_count,4788047.0,0.0,5
