error_model,error_rate_percent,metric_name,category,real_mean_relative_change,null_mean_relative_change,effect_difference,cohens_d,p_value_adjusted,is_significant
false_synapses,2.0%,total_degree_median,secondary_emergent,0.047619047619047616,0.0476190476190476,1.3877787807814457e-17,0.0,,False
false_synapses,2.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,total_degree_std,secondary_emergent,0.002979124853861375,0.0029791248538613797,-4.7704895589362195e-18,-5.229838104960535e-13,1.0,False
false_synapses,2.0%,total_degree_variance,secondary_emergent,0.005967124959181812,0.00596712495918178,3.209238430557093e-17,1.7538981317020166e-12,1.0,False
false_synapses,2.0%,reciprocity,secondary_emergent,-0.004053596513548087,0.4446064690486481,-0.4486600655621962,-76.76210043290342,1.2652002143647785e-07,True
false_synapses,5.0%,density,primary_imposed,0.05000001253113816,0.0500000125312058,-6.764033777528766e-14,-100.0,,False
false_synapses,5.0%,edge_count,secondary_emergent,0.050000012531205826,0.0500000125312058,2.7755575615628914e-17,0.0,,False
false_synapses,5.0%,node_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,total_synapses,secondary_emergent,0.02505812691292412,0.025058126912924084,3.8163916471489756e-17,2.70342082403298e-12,1.0,False
false_synapses,5.0%,weight_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,weight_mean,secondary_emergent,-0.023754176495822153,-0.0237541764958221,-5.204170427930421e-17,-3.870807135145003e-12,1.0,False
false_synapses,5.0%,weight_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,weight_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,weight_std,secondary_emergent,-0.021431110824866994,-0.02143111082486696,-3.469446951953614e-17,-1.1906531641852378e-11,1.0,False
false_synapses,5.0%,weight_variance,secondary_emergent,-0.04240292913175368,-0.04240292913175364,-4.163336342344337e-17,-7.300369864928054e-12,1.0,False
false_synapses,5.0%,scc_count,secondary_emergent,-0.0024529844644317253,-0.00121347785108382,-0.0012395066133479053,-6.0040900322200494,0.0005687459063830955,True
false_synapses,5.0%,scc_max_size,secondary_emergent,0.0003457551737742549,0.0001458025154472,0.0001999526583270549,5.9469567935005685,0.0008798591883990463,True
false_synapses,5.0%,wcc_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,wcc_max_size,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,in_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,in_degree_mean,secondary_emergent,0.050000012531205854,0.0500000125312058,5.551115123125783e-17,0.0,,False
false_synapses,5.0%,in_degree_median,secondary_emergent,0.11111111111111112,0.11111111111111112,0.0,0.0,,False
false_synapses,5.0%,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,in_degree_std,secondary_emergent,0.008527289115227767,0.0085272891152277,6.765421556309548e-17,2.04340021945862e-12,1.0,False
false_synapses,5.0%,in_degree_variance,secondary_emergent,0.01712729376705608,0.01712729376705608,0.0,0.0,1.0,False
false_synapses,5.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,out_degree_mean,secondary_emergent,0.050000012531205854,0.0500000125312058,5.551115123125783e-17,0.0,,False
false_synapses,5.0%,out_degree_median,secondary_emergent,0.09090909090909091,0.0909090909090909,1.3877787807814457e-17,0.0,,False
false_synapses,5.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,out_degree_std,secondary_emergent,0.014737214382444092,0.014737214382444162,-6.938893903907228e-17,-1.1678931930807693e-12,1.0,False
false_synapses,5.0%,out_degree_variance,secondary_emergent,0.029691617076639625,0.02969161707663958,4.5102810375396984e-17,3.740500764446394e-13,1.0,False
false_synapses,5.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,total_degree_mean,primary_imposed,0.050000012531205854,0.0500000125312058,5.551115123125783e-17,0.0,,False
false_synapses,5.0%,total_degree_median,secondary_emergent,0.047619047619047616,0.0476190476190476,1.3877787807814457e-17,0.0,,False
false_synapses,5.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,5.0%,total_degree_std,secondary_emergent,0.009177395358827684,0.00917739535882762,6.418476861114186e-17,2.046105391493931e-12,1.0,False
false_synapses,5.0%,total_degree_variance,secondary_emergent,0.018439016090450937,0.01843901609045088,5.898059818321144e-17,9.315449215345188e-13,1.0,False
false_synapses,5.0%,reciprocity,secondary_emergent,0.009539007296620477,1.5724237266659304,-1.56288471936931,-480.4163082353074,1.594046374515598e-10,True
false_synapses,10.0%,density,primary_imposed,0.10000002506227648,0.10000002506241171,-1.3522516439934407e-13,-100.0,,False
false_synapses,10.0%,edge_count,secondary_emergent,0.10000002506241165,0.1000000250624116,5.551115123125783e-17,0.0,,False
false_synapses,10.0%,node_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,total_synapses,secondary_emergent,0.05008755651481176,0.05008755651481171,4.85722573273506e-17,2.2110123466219616e-12,1.0,False
false_synapses,10.0%,weight_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,weight_mean,secondary_emergent,-0.04537497037308522,-0.045374970373085174,-4.85722573273506e-17,-2.4321136367008853e-12,1.0,False
false_synapses,10.0%,weight_median,secondary_emergent,-0.25,-0.25,0.0,0.0,,False
false_synapses,10.0%,weight_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,weight_std,secondary_emergent,-0.041524130224369446,-0.041524130224369335,-1.1102230246251565e-16,-3.3360889458348756e-11,1.0,False
false_synapses,10.0%,weight_variance,secondary_emergent,-0.08132400704898832,-0.0813240070489883,-1.3877787807814457e-17,-2.175384649405851e-12,1.0,False
false_synapses,10.0%,scc_count,secondary_emergent,-0.00753338784409921,-0.0017318567389254802,-0.0058015311051737295,-25.302306586716494,1.5566514346856252e-06,True
false_synapses,10.0%,scc_max_size,secondary_emergent,0.0012539005057207418,0.0002080870851529,0.0010458134205678419,22.917554981945322,6.056043575661709e-06,True
false_synapses,10.0%,wcc_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,wcc_max_size,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,in_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,in_degree_mean,secondary_emergent,0.10000002506241171,0.10000002506241171,0.0,0.0,,False
false_synapses,10.0%,in_degree_median,secondary_emergent,0.11111111111111112,0.11111111111111112,0.0,0.0,,False
false_synapses,10.0%,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,in_degree_std,secondary_emergent,0.01990188499868489,0.01990188499868484,4.85722573273506e-17,9.058786712117907e-13,1.0,False
false_synapses,10.0%,in_degree_variance,secondary_emergent,0.040199857323863365,0.04019985732386352,-1.5265566588595902e-16,-1.3957452139730902e-12,1.0,False
false_synapses,10.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,out_degree_mean,secondary_emergent,0.10000002506241171,0.10000002506241171,0.0,0.0,,False
false_synapses,10.0%,out_degree_median,secondary_emergent,0.09090909090909091,0.0909090909090909,1.3877787807814457e-17,0.0,,False
false_synapses,10.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,out_degree_std,secondary_emergent,0.030128979222481013,0.030128979222481124,-1.1102230246251565e-16,-3.363386531508072e-12,1.0,False
false_synapses,10.0%,out_degree_variance,secondary_emergent,0.06116571470563077,0.06116571470563066,1.1102230246251565e-16,1.6325235492579542e-12,1.0,False
false_synapses,10.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,total_degree_mean,primary_imposed,0.10000002506241171,0.10000002506241171,0.0,0.0,,False
false_synapses,10.0%,total_degree_median,secondary_emergent,0.09523809523809523,0.0952380952380952,2.7755575615628914e-17,0.0,,False
false_synapses,10.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,10.0%,total_degree_std,secondary_emergent,0.021194653865650163,0.02119465386565012,4.5102810375396984e-17,1.3267169122960914e-12,1.0,False
false_synapses,10.0%,total_degree_variance,secondary_emergent,0.042838522008357,0.04283852200835692,7.632783294297951e-17,1.0993007280677301e-12,1.0,False
false_synapses,10.0%,reciprocity,secondary_emergent,0.03142754496204907,3.23677785546811,-3.205350310506061,-401.0595462428334,3.0240032352344844e-10,True
false_synapses,15.0%,density,primary_imposed,0.15000003759404232,0.1500000375936175,4.2482684037281615e-13,100.0,,False
false_synapses,15.0%,edge_count,secondary_emergent,0.15000003759361752,0.1500000375936175,2.7755575615628914e-17,0.0,,False
false_synapses,15.0%,node_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,total_synapses,secondary_emergent,0.07516677340424908,0.07516677340424907,1.3877787807814457e-17,3.803981013680349e-13,1.0,False
false_synapses,15.0%,weight_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,weight_mean,secondary_emergent,-0.06507240151570566,-0.06507240151570559,-6.938893903907228e-17,-2.18728915437197e-12,1.0,False
false_synapses,15.0%,weight_median,secondary_emergent,-0.25,-0.25,0.0,0.0,,False
false_synapses,15.0%,weight_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,weight_std,secondary_emergent,-0.06042126658146183,-0.0604212665814618,-3.469446951953614e-17,-6.217414533982947e-12,1.0,False
false_synapses,15.0%,weight_variance,secondary_emergent,-0.11719180368270463,-0.11719180368270461,-1.3877787807814457e-17,-1.3234461316852414e-12,1.0,False
false_synapses,15.0%,scc_count,secondary_emergent,-0.013747615153992915,-0.0020735155513665797,-0.011674099602626335,-58.6226838612409,2.45588209760097e-11,True
false_synapses,15.0%,scc_max_size,secondary_emergent,0.0024331982353574116,0.0002491382788225,0.0021840599565349115,48.5378947512928,6.094228811131036e-08,True
false_synapses,15.0%,wcc_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,wcc_max_size,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,in_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,in_degree_mean,secondary_emergent,0.15000003759361755,0.1500000375936174,1.3877787807814457e-16,0.0,,False
false_synapses,15.0%,in_degree_median,secondary_emergent,0.22222222222222224,0.22222222222222224,0.0,0.0,,False
false_synapses,15.0%,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,in_degree_std,secondary_emergent,0.03635499741675386,0.0363549974167538,6.245004513516506e-17,5.8074479839906e-13,1.0,False
false_synapses,15.0%,in_degree_variance,secondary_emergent,0.07403168992159795,0.07403168992159803,-8.326672684688674e-17,-3.7358164057907133e-13,1.0,False
false_synapses,15.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,out_degree_mean,secondary_emergent,0.15000003759361755,0.1500000375936174,1.3877787807814457e-16,0.0,,False
false_synapses,15.0%,out_degree_median,secondary_emergent,0.09090909090909091,0.0909090909090909,1.3877787807814457e-17,0.0,,False
false_synapses,15.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,out_degree_std,secondary_emergent,0.05005900452803913,0.050059004528039186,-5.551115123125783e-17,-9.792069461893868e-13,1.0,False
false_synapses,15.0%,out_degree_variance,secondary_emergent,0.10262391556141333,0.1026239155614133,2.7755575615628914e-17,2.331362258457425e-13,1.0,False
false_synapses,15.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,total_degree_mean,primary_imposed,0.15000003759361755,0.1500000375936174,1.3877787807814457e-16,0.0,,False
false_synapses,15.0%,total_degree_median,secondary_emergent,0.14285714285714285,0.1428571428571428,5.551115123125783e-17,0.0,,False
false_synapses,15.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,15.0%,total_degree_std,secondary_emergent,0.03800522112920189,0.038005221129201835,5.551115123125783e-17,7.835893596052382e-13,1.0,False
false_synapses,15.0%,total_degree_variance,secondary_emergent,0.07745484310637105,0.07745484310637105,0.0,0.0,1.0,False
false_synapses,15.0%,reciprocity,secondary_emergent,0.05135637714450357,4.732408441479,-4.681052064334497,-442.03155736521995,2.145475581226217e-10,True
false_synapses,20.0%,density,primary_imposed,0.20000005012518046,0.2000000501248232,3.5726976932437537e-13,100.0,,False
false_synapses,20.0%,edge_count,secondary_emergent,0.2000000501248233,0.2000000501248233,0.0,0.0,,False
false_synapses,20.0%,node_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,total_synapses,secondary_emergent,0.10024382525986561,0.10024382525986555,5.551115123125783e-17,8.396261115426944e-13,1.0,False
false_synapses,20.0%,weight_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,weight_mean,secondary_emergent,-0.08313018391505997,-0.08313018391505994,-2.7755575615628914e-17,-5.037756879691522e-13,1.0,False
false_synapses,20.0%,weight_median,secondary_emergent,-0.25,-0.25,0.0,0.0,,False
false_synapses,20.0%,weight_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,weight_std,secondary_emergent,-0.07822830885105565,-0.07822830885105561,-4.163336342344337e-17,-4.205743028373099e-12,1.0,False
false_synapses,20.0%,weight_variance,secondary_emergent,-0.15033694931802027,-0.15033694931802025,-2.7755575615628914e-17,-1.520885400059712e-12,1.0,False
false_synapses,20.0%,scc_count,secondary_emergent,-0.021738893431452713,-0.00237983034872758,-0.01935906308272513,-57.21136391426262,4.855436918288492e-10,True
false_synapses,20.0%,scc_max_size,secondary_emergent,0.0039582511387683365,0.00028594279728490007,0.0036723083414834366,70.79079612559076,2.65861433104413e-09,True
false_synapses,20.0%,wcc_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,wcc_max_size,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,in_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,in_degree_mean,secondary_emergent,0.20000005012482322,0.2000000501248232,2.7755575615628914e-17,0.0,,False
false_synapses,20.0%,in_degree_median,secondary_emergent,0.22222222222222224,0.22222222222222224,0.0,0.0,,False
false_synapses,20.0%,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,in_degree_std,secondary_emergent,0.05529451054253368,0.055294510542533634,4.85722573273506e-17,4.393939180876828e-13,1.0,False
false_synapses,20.0%,in_degree_variance,secondary_emergent,0.11364651375714438,0.11364651375714445,-6.938893903907228e-17,-2.974045254578296e-13,1.0,False
false_synapses,20.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,out_degree_mean,secondary_emergent,0.20000005012482322,0.2000000501248232,2.7755575615628914e-17,0.0,,False
false_synapses,20.0%,out_degree_median,secondary_emergent,0.09090909090909091,0.0909090909090909,1.3877787807814457e-17,0.0,,False
false_synapses,20.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,out_degree_std,secondary_emergent,0.07207683032676647,0.07207683032676657,-9.71445146547012e-17,-6.652733842710082e-13,1.0,False
false_synapses,20.0%,out_degree_variance,secondary_emergent,0.1493487471814139,0.14934874718141383,5.551115123125783e-17,1.772861699498627e-13,1.0,False
false_synapses,20.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,total_degree_mean,primary_imposed,0.20000005012482322,0.2000000501248232,2.7755575615628914e-17,0.0,,False
false_synapses,20.0%,total_degree_median,secondary_emergent,0.19047619047619047,0.1904761904761904,5.551115123125783e-17,0.0,,False
false_synapses,20.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,20.0%,total_degree_std,secondary_emergent,0.05719738354918795,0.05719738354918792,2.7755575615628914e-17,3.183570942157072e-13,1.0,False
false_synapses,20.0%,total_degree_variance,secondary_emergent,0.11766631386405853,0.11766631386405853,0.0,0.0,1.0,False
false_synapses,20.0%,reciprocity,secondary_emergent,0.07085246390748512,6.077153592501958,-6.0063011285944725,-287.0034243373875,1.0182578226130288e-09,True
