dataset,error_model,error_rate,error_rate_percent,analysis_name,metric_name,category,real_n,null_n,real_baseline_mean,null_baseline_mean,real_perturbed_mean,null_perturbed_mean,real_mean_relative_change,real_std_relative_change,null_mean_relative_change,null_std_relative_change,effect_difference,cohens_d,test_name,p_value_raw,p_value_adjusted,is_significant,interpretation
BANC,false_synapses,0.05,5.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.1311785706357808,0.010241885686283961,0.009539007296620477,0.00011986616023387239,1.5724237266659304,0.004599141279031488,-1.56288471936931,-480.4163082353074,welch_t_test,1.7486359275290342e-11,1.2578897156095956e-10,True,"At 5.0% error rate, the secondary change in reciprocity was significantly less in Real (+0.95%) than Null (+157.24%) (difference = -156.29%, d = -480.42, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4389043.0,4389043.0,0.10000002506241165,1.5515838457795457e-17,0.1000000250624116,0.0,5.551115123125783e-17,0.0,welch_t_test,0.0013238969092171672,0.002480916056768305,True,"At 10.0% error rate, the secondary change in edge count was significantly greater in Real (+10.00%) than Null (+10.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0025). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18206.8,16946.6,-0.00753338784409921,0.0003117138938238387,-0.0017318567389254802,8.933642134840991e-05,-0.0058015311051737295,-25.302306586716494,welch_t_test,4.3804022883840327e-07,1.4579547915069243e-06,True,"At 10.0% error rate, the secondary change in scc count was significantly less in Real (-0.75%) than Null (-0.17%) (difference = -0.58%, d = -25.30, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139579.8,141316.4,0.0012539005057207418,6.363690001425161e-05,0.0002080870851529,1.0734003049179803e-05,0.0010458134205678419,22.917554981945322,welch_t_test,1.9641222407551487e-06,5.763148153794712e-06,True,"At 10.0% error rate, the secondary change in scc max size was significantly greater in Real (+0.13%) than Null (+0.02%) (difference = +0.10%, d = 22.92, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,degree_distribution,out_degree_median,secondary_emergent,5,5,11.0,11.0,12.0,12.0,0.09090909090909091,0.0,0.0909090909090909,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 10.0% error rate, the secondary change in out degree median was significantly greater in Real (+9.09%) than Null (+9.09%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,degree_distribution,total_degree_median,secondary_emergent,5,5,21.0,21.0,23.0,23.0,0.09523809523809523,0.0,0.0952380952380952,0.0,2.7755575615628914e-17,0.0,welch_t_test,0.0,0.0,True,"At 10.0% error rate, the secondary change in total degree median was significantly greater in Real (+9.52%) than Null (+9.52%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.1,10.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.1340227470999942,0.01686836971066352,0.03142754496204907,0.0003535289004759621,3.23677785546811,0.011297155162294079,-3.205350310506061,-401.0595462428334,welch_t_test,3.5576508649817465e-11,2.4286412537477434e-10,True,"At 10.0% error rate, the secondary change in reciprocity was significantly less in Real (+3.14%) than Null (+323.68%) (difference = -320.54%, d = -401.06, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4588545.0,4588545.0,0.15000003759361752,0.0,0.1500000375936175,0.0,2.7755575615628914e-17,0.0,welch_t_test,0.0,0.0,True,"At 15.0% error rate, the secondary change in edge count was significantly greater in Real (+15.00%) than Null (+15.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18092.8,16940.8,-0.013747615153992915,0.00022933424876492412,-0.0020735155513665797,0.00016345943597443664,-0.011674099602626335,-58.6226838612409,welch_t_test,2.186476907244107e-12,1.8284413136828845e-11,True,"At 15.0% error rate, the secondary change in scc count was significantly less in Real (-1.37%) than Null (-0.21%) (difference = -1.17%, d = -58.62, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139744.2,141322.2,0.0024331982353574116,6.052874175167039e-05,0.0002491382788225,1.9640075768476774e-05,0.0021840599565349115,48.5378947512928,welch_t_test,1.2014059977428435e-08,5.4306798141213667e-08,True,"At 15.0% error rate, the secondary change in scc max size was significantly greater in Real (+0.24%) than Null (+0.02%) (difference = +0.22%, d = 48.54, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,degree_distribution,in_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,28.993346476096598,28.993346476096598,0.15000003759361755,0.0,0.1500000375936174,0.0,1.3877787807814457e-16,0.0,welch_t_test,0.0,0.0,True,"At 15.0% error rate, the secondary change in in degree mean was significantly greater in Real (+15.00%) than Null (+15.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,degree_distribution,out_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,28.993346476096598,28.993346476096598,0.15000003759361755,0.0,0.1500000375936174,0.0,1.3877787807814457e-16,0.0,welch_t_test,0.0,0.0,True,"At 15.0% error rate, the secondary change in out degree mean was significantly greater in Real (+15.00%) than Null (+15.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,degree_distribution,out_degree_median,secondary_emergent,5,5,11.0,11.0,12.0,12.0,0.09090909090909091,0.0,0.0909090909090909,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 15.0% error rate, the secondary change in out degree median was significantly greater in Real (+9.09%) than Null (+9.09%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,degree_distribution,total_degree_median,secondary_emergent,5,5,21.0,21.0,24.0,24.0,0.14285714285714285,0.0,0.1428571428571428,0.0,5.551115123125783e-17,0.0,welch_t_test,0.0,0.0,True,"At 15.0% error rate, the secondary change in total degree median was significantly greater in Real (+14.29%) than Null (+14.29%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.15,15.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.13661228123511915,0.02282309533850052,0.05135637714450357,0.0004388656326621785,4.732408441479,0.014969891223312737,-4.681052064334497,-442.03155736521995,welch_t_test,2.4217609899373832e-11,1.7054295813348521e-10,True,"At 15.0% error rate, the secondary change in reciprocity was significantly less in Real (+5.14%) than Null (+473.24%) (difference = -468.11%, d = -442.03, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
